V,tauj
-130,2.5
-125,5
-120,4
-120,14
-120,27
-120,42
-115,7
-110,4
-110,37
-105,12
-100,60
-95,13
-90,95
-85,20
-55,0
-50,0
-50,6
-40,0
-30,0
-20,0
-10,0
0,0
