V,hinfjinf
233,6.23E-72
234,3.64E-72
235,2.12E-72
236,1.24E-72
237,7.23E-73
238,4.22E-73
239,2.46E-73
240,1.44E-73
241,8.39E-74
242,4.90E-74
243,2.86E-74
244,1.67E-74
245,9.74E-75
246,5.69E-75
247,3.32E-75
248,1.94E-75
249,1.13E-75
250,6.60E-76
251,3.85E-76
252,2.25E-76
253,1.31E-76
254,7.66E-77
255,4.47E-77
256,2.61E-77
257,1.52E-77
258,8.90E-78
259,5.19E-78
260,3.03E-78
261,1.77E-78
262,1.03E-78
263,6.03E-79
264,3.52E-79
265,2.05E-79
266,1.20E-79
267,7.00E-80
268,4.09E-80
269,2.38E-80
270,1.39E-80
271,8.12E-81
272,4.74E-81
273,2.77E-81
274,1.62E-81
275,9.43E-82
276,5.50E-82
277,3.21E-82
278,1.88E-82
279,1.09E-82
280,6.39E-83
281,3.73E-83
282,2.18E-83
283,1.27E-83
284,7.42E-84
285,4.33E-84
286,2.53E-84
287,1.48E-84
288,8.61E-85
289,5.03E-85
290,2.93E-85
291,1.71E-85
292,1.00E-85
293,5.84E-86
294,3.41E-86
295,1.99E-86
296,1.16E-86
297,6.77E-87
298,3.95E-87
299,2.31E-87
300,1.35E-87
301,7.86E-88
302,4.59E-88
303,2.68E-88
304,1.56E-88
305,9.13E-89
306,5.33E-89
307,3.11E-89
308,1.82E-89
309,1.06E-89
310,6.19E-90
311,3.61E-90
312,2.11E-90
313,1.23E-90
314,7.18E-91
315,4.19E-91
316,2.45E-91
317,1.43E-91
318,8.34E-92
319,4.87E-92
320,2.84E-92
321,1.66E-92
322,9.68E-93
323,5.65E-93
324,3.30E-93
325,1.92E-93
326,1.12E-93
327,6.56E-94
328,3.83E-94
329,2.23E-94
330,1.30E-94
331,7.61E-95
332,4.44E-95
333,2.59E-95
334,1.51E-95
335,8.84E-96
336,5.16E-96
337,3.01E-96
338,1.76E-96
339,1.03E-96
340,5.99E-97
341,3.49E-97
342,2.04E-97
343,1.19E-97
344,6.95E-98
345,4.06E-98
346,2.37E-98
347,1.38E-98
348,8.07E-99
349,4.71E-99
350,2.75E-99
351,1.60E-99
352,9.36E-100
353,5.47E-100
354,3.19E-100
355,1.86E-100
356,1.09E-100
357,6.35E-101
358,3.70E-101
359,2.16E-101
360,1.26E-101
361,7.37E-102
362,4.30E-102
363,2.51E-102
364,1.46E-102
365,8.55E-103
366,4.99E-103
367,2.91E-103
368,1.70E-103
369,9.93E-104
370,5.79E-104
371,3.38E-104
372,1.97E-104
373,1.15E-104
374,6.73E-105
375,3.93E-105
376,2.29E-105
377,1.34E-105
378,7.81E-106
379,4.56E-106
380,2.66E-106
381,1.55E-106
382,9.06E-107
383,5.29E-107
384,3.09E-107
385,1.80E-107
386,1.05E-107
387,6.14E-108
388,3.59E-108
389,2.09E-108
390,1.22E-108
391,7.13E-109
392,4.16E-109
393,2.43E-109
394,1.42E-109
395,8.28E-110
396,4.83E-110
397,2.82E-110
398,1.65E-110
399,9.61E-111
400,5.61E-111
401,3.27E-111
402,1.91E-111
403,1.12E-111
404,6.51E-112
405,3.80E-112
406,2.22E-112
407,1.29E-112
408,7.56E-113
409,4.41E-113
410,2.57E-113
411,1.50E-113
412,8.77E-114
413,5.12E-114
414,2.99E-114
415,1.74E-114
416,1.02E-114
417,5.94E-115
418,3.47E-115
419,2.03E-115
