V,tauh
-120,0
-120,1.4
-115,1.6
-110,1.6
-110,0.7
-105,2.4
-100,1.5
-95,4
-90,3.4
-80,7.4
-55,0.3
-50,0.3
-40,0.2
-30,0
-20,0
-10,0
0,0
