V,xsinf2
-100,0.0006
-90,0.0006
-80,0.0006
-70,-0.0011
-60,0.0006
-50,0.0057
-40,0.0142
-30,0.0347
-20,0.0756
-10,0.1608
0,0.3091
10,0.5102
20,0.708
30,0.8477
40,0.9278
50,0.9653
60,0.9841
70,0.9909
80,0.9943
90,0.996
100,0.996
